enter: pid=57355, name=main, t=50288451042370, addr=1050
enter: pid=57355, name=foo.constprop.1.isra.0, t=50288451634042, addr=11e0
ret: pid=57355, name=foo.constprop.1.isra.0, t=50288451664772, addr=121b
enter: pid=57355, name=foo.constprop.0, t=50288451668892, addr=1190
ret: pid=57355, name=foo.constprop.0, t=50288451674162, addr=11d0
enter: pid=57355, name=foo.constprop.1.isra.0, t=50288451677092, addr=11e0
ret: pid=57355, name=foo.constprop.1.isra.0, t=50288451680842, addr=121b
enter: pid=57355, name=foo.constprop.0, t=50288451682582, addr=1190
ret: pid=57355, name=foo.constprop.0, t=50288451685982, addr=11d0
enter: pid=57355, name=foo.constprop.1.isra.0, t=50288451687872, addr=11e0
ret: pid=57355, name=foo.constprop.1.isra.0, t=50288451691572, addr=121b
enter: pid=57355, name=foo.constprop.0, t=50288451694232, addr=1190
ret: pid=57355, name=foo.constprop.0, t=50288451697952, addr=11d0
enter: pid=57355, name=foo.constprop.1.isra.0, t=50288451700572, addr=11e0
ret: pid=57355, name=foo.constprop.1.isra.0, t=50288451704182, addr=121b
enter: pid=57355, name=foo.constprop.0, t=50288451706552, addr=1190
ret: pid=57355, name=foo.constprop.0, t=50288451712192, addr=11d0
enter: pid=57355, name=foo.constprop.1.isra.0, t=50288451714942, addr=11e0
ret: pid=57355, name=foo.constprop.1.isra.0, t=50288451719492, addr=121b
enter: pid=57355, name=foo.constprop.0, t=50288451722122, addr=1190
ret: pid=57355, name=foo.constprop.0, t=50288451725212, addr=11d0
enter: pid=57355, name=foo.constprop.1.isra.0, t=50288451727742, addr=11e0
ret: pid=57355, name=foo.constprop.1.isra.0, t=50288451731812, addr=121b
enter: pid=57355, name=foo.constprop.0, t=50288451734422, addr=1190
ret: pid=57355, name=foo.constprop.0, t=50288451738442, addr=11d0
enter: pid=57355, name=foo.constprop.1.isra.0, t=50288451740992, addr=11e0
ret: pid=57355, name=foo.constprop.1.isra.0, t=50288451745322, addr=121b
enter: pid=57355, name=foo.constprop.0, t=50288451747892, addr=1190
ret: pid=57355, name=foo.constprop.0, t=50288451751162, addr=11d0
enter: pid=57355, name=foo.constprop.1.isra.0, t=50288451753552, addr=11e0
ret: pid=57355, name=foo.constprop.1.isra.0, t=50288451758502, addr=121b
enter: pid=57355, name=foo.constprop.0, t=50288451761052, addr=1190
ret: pid=57355, name=foo.constprop.0, t=50288451764092, addr=11d0
enter: pid=57355, name=foo.constprop.1.isra.0, t=50288451766782, addr=11e0
ret: pid=57355, name=foo.constprop.1.isra.0, t=50288451771132, addr=121b
enter: pid=57355, name=foo.constprop.0, t=50288451773602, addr=1190
ret: pid=57355, name=foo.constprop.0, t=50288451777292, addr=11d0
enter: pid=57355, name=foo.constprop.1.isra.0, t=50288451779862, addr=11e0
ret: pid=57355, name=foo.constprop.1.isra.0, t=50288451783992, addr=121b
enter: pid=57355, name=foo.constprop.0, t=50288451786512, addr=1190
ret: pid=57355, name=foo.constprop.0, t=50288451789952, addr=11d0
ret: pid=57355, name=main, t=50288451793362, addr=1085
